City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,77.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Myitkyina,MM,79.45,broken clouds,25.3833,97.4,Shwe Phyu Hotel
7,Shahreza,IR,83.53,clear sky,32.0339,51.8794,خوابگاه
8,Atuona,PF,77.68,few clouds,-9.8,-139.0333,Villa Enata
12,Dvinskoy,RU,75.58,broken clouds,62.1535,45.1175,Gostinitsa Dvinskaya
17,Tautira,PF,78.13,light rain,-17.7333,-149.15,Pension Oaoa
20,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
42,Bathsheba,BB,86.05,few clouds,13.2167,-59.5167,Atlantis Hotel
45,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
47,Torbay,CA,75.97,broken clouds,47.6666,-52.7314,Gallows Cove
52,Neath,GB,76.17,scattered clouds,51.6632,-3.8044,The Castle Hotel
59,Dhidhdhoo,MV,81.93,overcast clouds,6.8833,73.1,Dhidhoo beach
61,Lorengau,PG,81.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
63,Bengkulu,ID,79.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
76,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
86,Touros,BR,83.59,few clouds,-5.1989,-35.4608,INN NEW HORIZON
93,Uhlove,UA,78.67,few clouds,44.8215,33.6045,Tavryda
94,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Central
99,Proletarsk,RU,88.97,clear sky,46.7031,41.7192,Hotel Sprinter
100,Wuzhou,CN,75.58,moderate rain,23.4833,111.3167,Wuzhou Hostel
102,Lethem,GY,86.29,few clouds,3.3803,-59.7968,Savannah Inn
104,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
107,Bethel,US,84.56,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
111,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
112,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
114,Kavieng,PG,81.12,light rain,-2.5744,150.7967,Nusa Island Retreat
121,Lenine,UA,86.27,clear sky,45.2986,35.7771,Vostok
122,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
123,Along,IN,77.49,clear sky,28.1667,94.7667,Hotel West
126,Saint-Georges,GD,82.06,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
129,Gairo,IT,83.17,few clouds,39.8497,9.5047,La Nuova Luna
131,Basco,PH,84.2,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
132,Hobyo,SO,77.85,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
135,Neka,IR,81.91,scattered clouds,36.6508,53.299,گالری گل وندا
141,Kieta,PG,78.53,light rain,-6.2167,155.6333,Uruna Bay Retreat
142,Trairi,BR,84.11,scattered clouds,-3.2778,-39.2689,janelas do mar
146,The Valley,AI,85.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
152,Cabuyaro,CO,80.49,broken clouds,4.2817,-72.794,Hotel La Cuarta
154,Gorontalo,ID,75.63,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
155,Harper,LR,81.09,broken clouds,4.375,-7.7169,Screensaver
157,Qui Nhon,VN,81.07,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
162,Hirara,JP,84.16,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
163,Sakaiminato,JP,76.98,broken clouds,35.55,133.2333,Italian pasley
169,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
170,Naifaru,MV,82.56,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
176,Samarai,PG,81.23,few clouds,-10.6167,150.6667,Nuli Sapi
178,San Policarpo,PH,80.08,scattered clouds,12.1791,125.5072,Agapita M. Nicart
183,Jiwani,PK,86.02,overcast clouds,25.05,61.7417,Hamza hotel jiwani
186,Peniche,PT,76.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
189,Republic,US,89.87,clear sky,37.12,-93.4802,AmericInn by Wyndham Republic
193,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
195,Ixtapa,MX,81.23,overcast clouds,20.7,-105.2,hotel la terminal
199,Ajaccio,FR,80.65,clear sky,42.0,8.9167,Sole E Monte
