City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,76.95,74,96,1.01,overcast clouds
1,Jamestown,US,42.097,-79.2353,73.53,82,100,5.75,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,39.47,88,90,2.51,overcast clouds
3,Kapaa,US,22.0752,-159.319,77.32,77,0,16.11,clear sky
4,Myitkyina,MM,25.3833,97.4,79.45,94,68,1.86,broken clouds
5,Chuy,UY,-33.6971,-53.4616,57.96,91,100,10.87,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,63.18,84,38,3.0,scattered clouds
7,Shahreza,IR,32.0339,51.8794,83.53,20,0,18.52,clear sky
8,Atuona,PF,-9.8,-139.0333,77.68,72,21,24.07,few clouds
9,Airai,TL,-8.9266,125.4092,52.48,90,44,1.77,scattered clouds
10,Upernavik,GL,72.7868,-56.1549,39.42,79,31,10.18,scattered clouds
11,Yellowknife,CA,62.456,-114.3525,66.72,48,0,5.75,smoke
12,Dvinskoy,RU,62.1535,45.1175,75.58,50,84,7.36,broken clouds
13,New Norfolk,AU,-42.7826,147.0587,49.71,80,81,2.53,broken clouds
14,Ancud,CL,-41.8697,-73.8203,42.22,80,54,21.39,light rain
15,Sorkjosen,NO,69.8,20.9333,60.8,51,75,1.14,broken clouds
16,Hilo,US,19.7297,-155.09,71.26,87,100,6.91,overcast clouds
17,Tautira,PF,-17.7333,-149.15,78.13,76,25,13.11,light rain
18,Luanda,AO,-8.8368,13.2343,73.4,78,40,8.05,scattered clouds
19,Khatanga,RU,71.9667,102.5,57.61,49,99,3.04,overcast clouds
20,Butaritari,KI,3.0707,172.7902,82.27,75,100,22.86,light rain
21,Beringovskiy,RU,63.05,179.3167,45.52,91,99,2.84,overcast clouds
22,Nyurba,RU,63.2842,118.3319,59.58,82,100,2.06,overcast clouds
23,Gao,ML,16.6362,1.637,102.87,20,14,6.8,few clouds
24,Esperance,AU,-33.8667,121.9,55.24,88,100,13.47,light rain
25,Rikitea,PF,-23.1203,-134.9692,74.73,76,3,19.37,clear sky
26,Xining,CN,36.6167,101.7667,67.05,38,21,1.63,few clouds
27,Chumikan,RU,54.7183,135.315,64.2,84,31,2.13,scattered clouds
28,Dongfeng,CN,42.6403,125.5118,70.05,99,100,5.82,heavy intensity rain
