City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-07-04 16:49:17,19.7297,-155.09,82.27,92,75,6.91
1,Hvolsvollur,IS,2022-07-04 16:52:31,63.7533,-20.2243,54.27,58,23,14.0
2,Yanam,IN,2022-07-04 16:52:32,16.7333,82.2167,77.92,85,96,4.5
3,Rikitea,PF,2022-07-04 16:49:34,-23.1203,-134.9692,73.17,73,16,3.4
4,Ketchikan,US,2022-07-04 16:52:33,55.3422,-131.6461,57.67,94,100,5.75
5,Hithadhoo,MV,2022-07-04 16:52:33,-0.6,73.0833,82.06,73,55,2.26
6,Jambi,ID,2022-07-04 16:52:34,-1.6,103.6167,74.62,96,64,1.05
7,Laguna,US,2022-07-04 16:52:34,38.421,-121.4238,73.98,68,0,10.36
8,Port Elizabeth,ZA,2022-07-04 16:52:35,-33.918,25.5701,59.31,82,0,4.61
9,Busselton,AU,2022-07-04 16:52:35,-33.65,115.3333,63.63,69,82,22.79
10,Wilmington,US,2022-07-04 16:48:46,34.2257,-77.9447,84.0,82,100,6.91
11,Burnie,AU,2022-07-04 16:52:36,-41.0667,145.9167,46.94,76,2,4.88
12,Tuktoyaktuk,CA,2022-07-04 16:52:36,69.4541,-133.0374,71.6,64,20,10.36
13,Dingle,PH,2022-07-04 16:52:37,10.9995,122.6711,77.94,89,91,1.9
14,Takaka,NZ,2022-07-04 16:50:12,-40.85,172.8,47.95,66,100,3.11
15,Hajduszoboszlo,HU,2022-07-04 16:52:37,47.45,21.4,95.11,16,0,5.75
16,Barrow,US,2022-07-04 16:52:38,71.2906,-156.7887,39.22,87,100,10.36
17,Qaanaaq,GL,2022-07-04 16:52:38,77.484,-69.3632,42.08,74,19,0.18
18,Ushuaia,AR,2022-07-04 16:48:45,-54.8,-68.3,37.02,87,75,4.61
19,Muktsar,IN,2022-07-04 16:51:26,30.4833,74.5167,98.4,38,38,3.47
20,Trinidad,BO,2022-07-04 16:52:39,-14.8333,-64.9,89.58,51,80,6.91
21,Khatanga,RU,2022-07-04 16:52:40,71.9667,102.5,45.12,66,100,1.57
22,Tupik,RU,2022-07-04 16:52:40,54.4253,119.9327,62.87,95,42,1.7
23,Kavieng,PG,2022-07-04 16:52:41,-2.5744,150.7967,81.97,80,100,14.2
24,Lope De Vega,PH,2022-07-04 16:52:41,12.2983,124.6238,73.47,95,77,0.87
25,Mar Del Plata,AR,2022-07-04 16:52:42,-38.0023,-57.5575,55.09,77,0,11.5
26,Isangel,VU,2022-07-04 16:52:42,-19.55,169.2667,75.43,83,48,12.8
27,Shingu,JP,2022-07-04 16:50:31,33.7333,135.9833,74.68,98,100,5.61
28,Puerto Ayora,EC,2022-07-04 16:52:43,-0.7393,-90.3518,75.16,98,87,3.0
29,Simao,CN,2022-07-04 16:52:43,22.7886,100.9748,67.26,98,84,1.81
30,Bilma,NE,2022-07-04 16:52:43,18.6853,12.9164,103.39,9,0,2.95
31,Punta Arenas,CL,2022-07-04 16:51:03,-53.15,-70.9167,33.91,86,40,9.22
32,Atuona,PF,2022-07-04 16:52:44,-9.8,-139.0333,76.77,76,60,23.02
33,Grindavik,IS,2022-07-04 16:52:45,63.8424,-22.4338,51.75,81,75,9.22
34,Upernavik,GL,2022-07-04 16:52:45,72.7868,-56.1549,38.37,74,7,12.12
35,Saint-Pierre,RE,2022-07-04 16:52:45,-21.3393,55.4781,69.48,77,0,6.91
36,Kachiry,KZ,2022-07-04 16:52:46,53.0675,76.1036,69.15,55,66,17.85
37,Albany,US,2022-07-04 16:52:33,42.6001,-73.9662,79.95,37,7,10.18
38,Armidale,AU,2022-07-04 16:52:46,-30.5167,151.65,39.31,84,100,1.9
39,Yar-Sale,RU,2022-07-04 16:52:47,66.8333,70.8333,54.61,48,100,4.61
40,Ribeira Grande,PT,2022-07-04 16:52:47,38.5167,-28.7,70.2,60,75,12.66
41,Victoria,HK,2022-07-04 16:49:58,22.2855,114.1577,84.38,88,100,11.99
42,Lahat,ID,2022-07-04 16:53:48,-3.8,103.5333,73.92,95,85,2.44
43,Yulara,AU,2022-07-04 16:53:48,-25.2406,130.9889,41.18,58,0,8.77
44,Mount Gambier,AU,2022-07-04 16:53:49,-37.8333,140.7667,46.31,93,40,4.61
45,Lebu,CL,2022-07-04 16:53:49,-37.6167,-73.65,52.12,73,56,13.85
46,Chokurdakh,RU,2022-07-04 16:53:49,70.6333,147.9167,58.08,59,100,9.48
47,New Norfolk,AU,2022-07-04 16:53:50,-42.7826,147.0587,47.7,84,49,3.13
48,San Ramon,US,2022-07-04 16:53:50,37.7799,-121.978,70.48,76,100,3.44
49,Vestmannaeyjar,IS,2022-07-04 16:53:50,63.4427,-20.2734,54.59,76,0,17.27
50,Jaranwala,PK,2022-07-04 16:53:51,31.3333,73.4333,98.6,40,27,8.88
51,East London,ZA,2022-07-04 16:52:38,-33.0153,27.9116,61.74,88,20,3.44
52,Goderich,CA,2022-07-04 16:52:32,43.7501,-81.7165,72.91,68,66,9.22
53,Gimbi,ET,2022-07-04 16:53:52,9.1667,35.8333,54.84,96,99,2.8
54,Chuy,UY,2022-07-04 16:51:12,-33.6971,-53.4616,56.12,98,100,7.76
55,Fort Nelson,CA,2022-07-04 16:53:52,58.8053,-122.7002,62.19,63,75,9.22
56,Kruisfontein,ZA,2022-07-04 16:53:52,-34.0033,24.7314,53.8,92,0,7.18
57,Kysyl-Syr,RU,2022-07-04 16:53:53,63.8986,122.7617,62.62,69,79,4.5
58,Hobart,AU,2022-07-04 16:52:55,-42.8794,147.3294,48.06,84,100,6.91
59,Hirara,JP,2022-07-04 16:53:53,24.8,125.2833,83.12,82,65,13.65
60,Pitrufquen,CL,2022-07-04 16:53:54,-38.9833,-72.65,50.02,76,0,11.5
61,Yellowknife,CA,2022-07-04 16:53:54,62.456,-114.3525,64.92,48,20,6.91
62,Bredasdorp,ZA,2022-07-04 16:53:55,-34.5322,20.0403,49.77,81,0,4.21
63,Luderitz,NA,2022-07-04 16:53:55,-26.6481,15.1594,56.75,78,0,11.25
64,Westport,US,2022-07-04 16:50:10,41.1415,-73.3579,85.41,46,0,13.8
65,Bethel,US,2022-07-04 16:53:53,41.3712,-73.414,83.17,45,1,1.99
66,Fairbanks,US,2022-07-04 16:50:33,64.8378,-147.7164,65.08,79,0,5.75
67,Egvekinot,RU,2022-07-04 16:53:56,66.3167,-179.1667,42.17,80,100,1.95
68,Isla Aguada,MX,2022-07-04 16:53:57,18.7833,-91.4667,81.88,72,100,8.03
69,Vestmanna,FO,2022-07-04 16:53:57,62.1564,-7.1664,45.52,87,100,23.02
70,Vila Franca Do Campo,PT,2022-07-04 16:53:57,37.7167,-25.4333,68.41,63,55,7.99
71,Thompson,CA,2022-07-04 16:53:58,55.7435,-97.8558,59.16,58,75,10.36
72,Bandarbeyla,SO,2022-07-04 16:53:58,9.4942,50.8122,84.7,51,46,32.86
73,Tra Vinh,VN,2022-07-04 16:53:59,9.9347,106.3453,77.88,93,97,4.65
74,Luba,GQ,2022-07-04 16:53:59,3.4568,8.5547,78.69,87,100,0.92
75,Cherskiy,RU,2022-07-04 16:53:59,68.75,161.3,54.7,65,93,6.69
76,Bronnoysund,NO,2022-07-04 16:54:00,65.4625,12.1997,60.8,88,40,15.01
77,Indergarh,IN,2022-07-04 16:54:00,26.9352,79.6724,96.64,44,81,4.54
78,Chulym,RU,2022-07-04 16:54:01,55.0997,80.9572,59.09,68,97,8.72
79,Tiksi,RU,2022-07-04 16:54:01,71.6872,128.8694,39.72,98,96,4.54
